book_author,book_image_link,book_name,book_price
Alice Hoffman,https://m.media-amazon.com/images/I/813i7G0SWNS._AC_UY218_.jpg,Magic Lessons: The Prequel to Practical Magic,12.
Maxine Papadakis,https://m.media-amazon.com/images/I/71UqiEqf8bL._AC_UY218_.jpg,CURRENT Medical Diagnosis and Treatment 2022,76.
Dara Horn,https://m.media-amazon.com/images/I/61KjYL7uFXS._AC_UY218_.jpg,People Love Dead Jews: Reports from a Haunted Present,22.
Scott Conant,https://m.media-amazon.com/images/I/41ov3pzcvqL._AC_UY218_.jpg,"Peace, Love, and Pasta: Simple and Elegant Recipes from a Chef's Home Kitchen",31.
Catriona Ward,https://m.media-amazon.com/images/I/A1rMjSz+KqS._AC_UY218_.jpg,The Last House on Needless Street,0.
Sara Pennypacker,https://m.media-amazon.com/images/I/91ryOr7yJ4L._AC_UY218_.jpg,"Pax, Journey Home",10.
Maegan Brown,https://m.media-amazon.com/images/I/A1EJ9qL0gIL._AC_UY218_.jpg,Spectacular Spreads: 50 Amazing Food Spreads for Any Occasion,23.
Bobby Hall,https://m.media-amazon.com/images/I/71wrpqtJOfL._AC_UY218_.jpg,This Bright Future: A Memoir,16.
Stacey Vanek Smith,https://m.media-amazon.com/images/I/61eib-uusnS._AC_UY218_.jpg,"Machiavelli for Women: Defend Your Worth, Grow Your Ambition, and Win the Workplace",21.
Pete McBride,https://m.media-amazon.com/images/I/812D2CaXh1L._AC_UY218_.jpg,Seeing Silence: The Beauty of the World’s Most Quiet Places,26.
Dane C. Ortlund,https://m.media-amazon.com/images/I/91-o4bDlXQL._AC_UY218_.jpg,Deeper: Real Change for Real Sinners (Union),.
Wayne Allyn Root,https://m.media-amazon.com/images/I/61yROksdMgL._AC_UY218_.jpg,"The Great Patriot Protest &amp; Boycott Book: The Priceless List for Conservatives, Christians, Patriots, &amp; 80+ Million Trump Warriors to Cancel ""Cancel Culture"" and Save America!",15.
Phoebe Wahl,https://m.media-amazon.com/images/I/A1aZxJKof1S._AC_UY218_.jpg,Little Witch Hazel: A Year in the Forest,17.
Stacey Marie Brown,https://m.media-amazon.com/images/I/91TWfJj3j7L._AC_UY218_.jpg,Bad Lands (Savage Lands Book 4),3.
James S. Murray,https://m.media-amazon.com/images/I/91t4F8SXfNS._AC_UY218_.jpg,The Stowaway: A Novel,23.
Ann Cleeves,https://m.media-amazon.com/images/I/81AfsqLTLFS._AC_UY218_.jpg,The Heron's Cry: A Detective Matthew Venn Novel (The Two Rivers Series Book 2),14.
R.C. Sherriff,https://m.media-amazon.com/images/I/81WSE5HocWL._AC_UY218_.jpg,The Fortnight in September: A Novel,14.
Penguin Young Readers Licenses,https://m.media-amazon.com/images/I/81S3k71T9XL._AC_UY218_.jpg,Bluey: Grannies,4.
Mike Lupica,https://m.media-amazon.com/images/I/811AKM5W0GL._AC_UY218_.jpg,Robert B. Parker's Stone's Throw (A Jesse Stone Novel Book 20),14.
